year,Africa (excluding high income) (median),Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Cote d'Ivoire,Djibouti,"Egypt, Arab Rep.",Equatorial Guinea,Eritrea,Eswatini,Ethiopia,Gabon,"Gambia, The",Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Sierra Leone,"Somalia, Fed. Rep.",South Africa,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2000,58.11533520951127,39.3043799736542,63.929737041682756,35.3794799897545,7.7037305266455265,41.79764119808901,104.73697812285172,45.05022455920549,85.43842510878092,91.88403813510003,48.32672633881068,59.39905913353256,41.26700990227414,103.42094766053211,61.029836745989876,30.5387080233736,23.27288761497142,,54.51214872132588,15.536504734943826,65.36737958863237,64.25087073486692,43.3785820633861,45.20127887956877,65.46680795112242,210.79425334211965,27.686798701541953,71.2607048140737,127.8790851113119,92.78641444278087,59.77846243678422,76.70954237077368,111.52286489454184,16.77523722455418,41.05179577918438,79.13183906980022,66.8577535259404,31.454434938167392,56.83161128548998,362.5532367080527,53.32882492093376,67.13947561797828,,6.796480698562278,77.36799463150714,48.395400174688476,61.050386688240934,39.46121497003802,39.34051049021465,123.4408251384757,17.244788556712106
2001,57.32676897851658,35.12587284703723,56.410511899283854,35.7298731673016,6.938585392216401,41.506110861577234,100.26500126666633,43.11956689242122,76.02145535856822,84.25678011896271,38.88074418756505,58.24302605774931,104.58596532512064,120.08461843126142,55.47821982371646,29.182502246630055,24.772242747572484,,67.81316736509461,17.914122213102175,68.77006045286956,60.79168134493261,43.43069035173473,44.11353292467442,67.32998749125096,189.75416442486198,25.198287904900347,74.73594135134543,119.20464488227664,69.75401468795678,59.097773925585365,63.89113195416042,108.33676517584693,15.587231066635177,36.00714792179741,45.03524709893479,59.17379198884654,28.39231302427805,59.973362558125984,395.30144406751265,48.69565840215898,61.635339513523,,6.653527003180424,64.10750002449677,43.924877320687756,60.22153452416848,39.371336139973835,42.180902659796395,124.8348452592776,16.980340207566933
2002,53.66696540051413,34.655424135368264,43.556855209016106,34.744219223740146,8.75616038642293,39.063176493663995,121.77364621715007,43.9125363452592,73.02891595617369,98.22785680912715,38.856671756361294,56.10967062944759,101.34862651836802,119.90059905298725,53.07720437343914,35.99601209382747,29.556780380837072,,86.67517830630273,23.993934193673375,80.95478620381826,60.02946979761167,57.211610154202795,41.37596973644278,67.77444462289348,180.2503861771188,27.591058557860272,73.40139813064027,119.68496000381722,77.29669485146968,54.25672642758912,52.76272834261482,106.63252518488422,16.214355232083893,31.5224307426154,47.800436936952835,59.195832935047775,21.217215607018346,67.42471013844913,377.1255737951241,50.077690390177686,60.55771130324482,,12.479977097450211,58.84692676171517,45.77144348875954,58.07397879602517,45.22926560084535,42.307690479033404,125.47011643477947,20.07782233171225
2003,49.52806532220022,29.78513899109042,37.530341239127,25.462456035702864,6.488758101757947,33.86530992929544,148.33919108228176,39.0444907168982,63.02669204094262,75.3919374509748,34.89366865371174,47.788895632466485,112.34468063654215,115.10757774949938,45.72449210272175,41.08685446765645,32.97793419328703,,89.84976302367535,18.389504839346994,81.86807020889957,52.28179955894322,67.39907515877319,37.23304049835682,61.93100861896155,165.75786644768698,27.26501586237212,53.54853452270068,166.9856213769944,72.53496722086578,64.91867050731811,51.267235011933955,98.68936767117731,14.747146214816523,25.75596025820933,47.43431292747845,56.77242434958054,21.58960283543031,67.14353588959237,335.78793393619696,44.67250305195011,61.49557469023061,,9.222843659356382,52.60858031950375,42.48857578102884,52.50040422498344,45.97709880971794,47.568930961617504,113.84451474029298,25.1824854241735
2004,44.89822879354429,22.229686530125345,30.301824232911073,24.44814671316716,5.533925040059228,32.86922598928946,133.76250795892253,35.83647937349715,49.482613335849294,70.98647143363614,23.52201782728191,43.246046520221846,98.38065801547076,114.49464459655564,48.37977186758461,41.6972561343744,35.469402551750875,,82.0223612106299,15.304100665411912,62.19059624146719,49.011910898488054,64.46221558143716,28.16446682237498,59.8480191899318,166.92791067629483,26.69729271340109,45.16258340995192,138.40193391410574,68.97075394102711,67.33287006834658,47.64180031197255,86.00450634878844,12.0944747953779,22.04119685518635,42.46272653626988,47.42625129471436,17.73343935757712,65.50609903002459,321.0117026204468,34.91293455886638,61.5189774334836,,6.948146305476863,43.9883017829502,41.99249567384159,52.466266558007824,44.63387417713666,41.094066214039564,94.02505012288803,26.903317255897736
2005,38.31601525661472,14.49485686834123,23.0263125562591,22.075924462262712,4.193294375409735,30.442421961474537,105.27886247854963,33.20547290420793,33.10640660274722,61.624272887793296,17.618485711283522,38.71356440701746,73.865548882662,82.16106972430431,42.22037074309843,38.090427608122305,30.419291780539957,,85.05039801381295,13.478577023591818,47.403563950532295,38.54160290510714,59.473984057619866,22.953876606104355,62.41186170177355,138.0967617983847,22.0439737679815,35.78249062847602,124.84752335300684,54.38597680086426,59.47518805790174,40.945890718898745,69.14425709974728,10.428483441745922,18.52083388139231,37.976201300491525,39.98382099514938,8.475775455557002,48.72924073840582,251.01429354513928,31.7783306208494,57.217953082073315,,6.362279395362331,32.14113540890599,37.717948936617205,46.76100284672157,38.704269466984805,33.77824462449086,46.23278108927153,25.649601969162898
2006,20.943160975439547,3.1369965236578303,12.55161490126959,8.564676868978593,3.6109295526898557,15.360561090521394,96.6673742691666,35.09679273654548,11.43643886812983,56.11337886651362,17.120044897391292,37.18229790787687,63.99374615402843,72.11278202561637,43.987730121952694,40.88708016026869,25.706656115150967,,83.36232017308961,13.184961662097269,13.985664194383727,38.001711376511174,63.17791691015755,7.340684453025024,70.25483634648346,142.54115190858454,19.95711940395552,35.666417730394194,108.54430056354538,19.52067345433941,13.582140793947438,18.876243669173085,32.82352696334622,8.392841233627312,18.311986564123593,21.929202546923573,13.822014764554192,1.2204472065285457,11.90686355134016,246.3381740108757,13.998983886704474,46.30248784657113,,5.853536547266258,26.545492202437597,13.057295835738639,48.50334192782955,37.67586768627061,7.808559196815776,6.712300085974417,30.338400026436048
2007,18.47472793608446,2.8276929301050786,12.651631298917978,9.384624100919314,3.75064201743215,16.69420295905579,94.09180882009204,34.24151025507661,9.011829964484248,48.48184596835086,16.12573917151774,34.546381516197584,58.597887597662,55.81874974427178,41.40180345978695,54.683652546771,23.445693256920762,,83.89064815976784,13.34204099918456,12.979533629137805,37.233010438891675,51.16745919170307,7.753806265961735,48.72548793780233,123.25865434144217,17.113937739193997,36.51738596745624,76.91357231892826,17.125430863143357,12.174095712200847,18.518008780739052,33.21241274381593,7.593851679533067,18.431447091429867,22.417953271281316,13.203036465413653,0.9637189765914999,14.089537240943686,97.12874772675413,14.194534608357268,13.965094002039574,,5.3697920611129,21.72500436001665,14.645141083228022,43.559091712437436,36.012872904036,8.969123663611606,7.199729387544777,33.89342640936663
2008,16.565225985408784,1.8265631416178683,12.941418405970545,8.909055405203532,3.697693838006365,16.110990130576482,76.57707319479154,31.199103704236684,7.568882365346033,40.03678791961433,13.023968065306017,28.87392516484465,47.89455544558859,42.48980375206216,31.64537861255885,49.16415547399346,18.029321512393963,,103.71428940069991,13.204807046597297,10.561589677908835,15.094574420529385,22.736395992487992,8.142642830578845,42.686185913474425,97.96322819593037,15.667034590091308,40.111503992154915,51.621180990574054,16.504511739104125,10.266562345212597,17.157703175574046,32.50829537813875,5.90120022996843,16.625940231713443,22.040889258641286,10.67772054331252,0.8261687999591346,12.687116230721074,56.242317879385816,14.068010866036444,13.875635587327478,,6.804870120004233,20.52644251332834,13.450202051429663,32.009756549582875,31.11252745133838,7.940198362475187,5.803462842841038,40.281442456925696
2009,18.393817358451567,2.036986737780064,16.815955860862474,10.10113075053464,13.789303516543033,18.4780497318185,22.16300751621379,37.66677710565314,7.765881601525877,13.98255511861925,14.221598810783828,28.592142237919056,58.376181664939374,47.67884831104372,37.76741525368646,51.82262759777218,15.819805789197016,,78.12180292532598,12.350916395351968,16.61642641774887,19.50917889197784,28.437941153349115,11.663042726565502,44.28330050921366,105.53942747477791,15.981055403947797,35.51523130970687,38.13349844776796,19.70432106462803,9.704216116529963,16.680056601278263,42.09292200004444,8.000812135643454,19.236488397576306,27.098610935075207,13.058042819894395,0.99110332668547,12.7672842533941,60.78510340462855,18.309584985084634,15.932190414658292,,7.050555526078843,25.35130706494968,16.09112319486929,31.303141950588547,32.976333990477826,9.322142548245974,7.138620739900457,28.985591915851067
