debtor_name,year,category,value,creditor_name
Africa (excluding high income),2024,commercial banks,1222875733.0,Africa Finance Corporation
Africa (excluding high income),2024,multilateral,47102010713.1,African Dev. Bank
Africa (excluding high income),2024,multilateral,10344541126.1,African Export-Import Bank
Africa (excluding high income),2024,bilateral,768641377.3,Algeria
Africa (excluding high income),2024,bilateral,400478000.0,Angola
Africa (excluding high income),2024,multilateral,31149000.0,Arab African International Bank
Africa (excluding high income),2024,multilateral,2270352969.1,Arab Bank for Economic Dev. in Africa (BADEA)
Africa (excluding high income),2024,commercial banks,0.0,Arab Bank for Economic Dev. in Africa (BADEA)
Africa (excluding high income),2024,multilateral,6719146848.9,Arab Fund for Economic & Social Development
Africa (excluding high income),2024,multilateral,2138163904.2,Arab Monetary Fund
Africa (excluding high income),2024,bilateral,10408000.0,Argentina
Africa (excluding high income),2024,multilateral,736214046.1,Asian Infrastructure Investment Bank
Africa (excluding high income),2024,bilateral,241778002.5,Austria
Africa (excluding high income),2024,commercial banks,598193586.5,Austria
Africa (excluding high income),2024,other private,1419118.7,Austria
Africa (excluding high income),2024,commercial banks,750000.0,Bahamas
Africa (excluding high income),2024,commercial banks,514350325.7,Bahrain
Africa (excluding high income),2024,other private,0.0,Bahrain
Africa (excluding high income),2024,bilateral,513115693.4,Belgium
Africa (excluding high income),2024,commercial banks,1062486210.2,Belgium
Africa (excluding high income),2024,other private,29109209.299999997,Belgium
Africa (excluding high income),2024,bilateral,68245.6,Benin
Africa (excluding high income),2024,bonds,192799972775.9,Bondholders
Africa (excluding high income),2024,bilateral,467058000.0,Brazil
Africa (excluding high income),2024,commercial banks,120421000.0,Brazil
Africa (excluding high income),2024,bilateral,79398000.0,Bulgaria
Africa (excluding high income),2024,bilateral,22626089.9,Cameroon
Africa (excluding high income),2024,bilateral,677951914.2,Canada
Africa (excluding high income),2024,commercial banks,49996000.0,Canada
Africa (excluding high income),2024,multilateral,308906085.0,Central Bank of West African States (BCEAO)
Africa (excluding high income),2024,bilateral,372.2,Chad
Africa (excluding high income),2024,bilateral,62153310834.0,China
Africa (excluding high income),2024,commercial banks,17378004175.1,China
Africa (excluding high income),2024,other private,2686349000.0,China
Africa (excluding high income),2024,bilateral,89167790.3,"Congo, Rep."
Africa (excluding high income),2024,bilateral,46722094.699999996,"Cote D`Ivoire, Republic Of"
Africa (excluding high income),2024,commercial banks,622562134.9,"Cote D`Ivoire, Republic Of"
Africa (excluding high income),2024,other private,20000000.0,"Cote D`Ivoire, Republic Of"
Africa (excluding high income),2024,bilateral,39903000.0,Croatia
Africa (excluding high income),2024,bilateral,225362662.7,Czechia
Africa (excluding high income),2024,commercial banks,184822387.8,Czechia
Africa (excluding high income),2024,bilateral,74191953.2,Denmark
Africa (excluding high income),2024,commercial banks,297105493.0,Denmark
Africa (excluding high income),2024,multilateral,390085257.2,Dev. Bank of the Central African States (BDEAC)
Africa (excluding high income),2024,multilateral,2234218793.4,Eastern & Southern African Trade & Dev. Bank (TDB)
Africa (excluding high income),2024,multilateral,755032372.6999999,Economic Community of West African States (ECOWAS)
Africa (excluding high income),2024,bilateral,187736000.0,Egypt
Africa (excluding high income),2024,other private,76632000.0,Egypt
Africa (excluding high income),2024,bilateral,30092063.900000002,Equatorial Guinea
Africa (excluding high income),2024,multilateral,2545629953.5,European Bank for Reconstruction and Dev. (EBRD)
