debtor_name,year,category,value,creditor_name
Africa (excluding high income),2024,multilateral,57301568.4,European Development Fund (EDF)
Africa (excluding high income),2024,multilateral,9314568.2,European Economic Community (EEC)
Africa (excluding high income),2024,multilateral,11581801967.7,European Investment Bank
Africa (excluding high income),2024,multilateral,311670000.0,European Social Fund (ESF)
Africa (excluding high income),2024,multilateral,2181690000.0,European Union
Africa (excluding high income),2024,bilateral,71470242.89999999,Finland
Africa (excluding high income),2024,other private,5667000.0,Finland
Africa (excluding high income),2024,bilateral,15239669221.7,France
Africa (excluding high income),2024,commercial banks,9433485480.699999,France
Africa (excluding high income),2024,other private,682746010.4999999,France
Africa (excluding high income),2024,bilateral,9304359796.2,"Germany, Fed. Rep. of"
Africa (excluding high income),2024,commercial banks,4092827936.3,"Germany, Fed. Rep. of"
Africa (excluding high income),2024,other private,199576845.6,"Germany, Fed. Rep. of"
Africa (excluding high income),2024,bilateral,2032000.0,Greece
Africa (excluding high income),2024,other private,446000.0,Greece
Africa (excluding high income),2024,commercial banks,310000000.0,Hong Kong
Africa (excluding high income),2024,other private,304841000.0,Hong Kong
Africa (excluding high income),2024,bilateral,740986027.2,Hungary
Africa (excluding high income),2024,other private,5783000.0,Hungary
Africa (excluding high income),2024,bilateral,4539743880.7,India
Africa (excluding high income),2024,other private,19772264.900000002,India
Africa (excluding high income),2024,multilateral,0.0,International Bank for Economic Cooperation (IBEC)
Africa (excluding high income),2024,multilateral,254750000.0,International Finance Corporation
Africa (excluding high income),2024,multilateral,3911099352.4,International Fund for Agricultural Dev.
Africa (excluding high income),2024,bilateral,189508654.0,"Iran, Islamic Republic Of"
Africa (excluding high income),2024,bilateral,387374867.1,Iraq
Africa (excluding high income),2024,bilateral,1643460.6,Ireland
Africa (excluding high income),2024,commercial banks,697221000.0,Ireland
Africa (excluding high income),2024,other private,32361471.6,Ireland
Africa (excluding high income),2024,multilateral,10454166157.199999,Islamic Dev. Bank
Africa (excluding high income),2024,commercial banks,1482204606.9,Israel
Africa (excluding high income),2024,other private,2731933000.0,Israel
Africa (excluding high income),2024,bilateral,1682462838.9,Italy
Africa (excluding high income),2024,commercial banks,1955663746.2,Italy
Africa (excluding high income),2024,other private,81378228.7,Italy
Africa (excluding high income),2024,bilateral,8317120725.6,Japan
Africa (excluding high income),2024,commercial banks,1581943605.5,Japan
Africa (excluding high income),2024,other private,195688000.3,Japan
Africa (excluding high income),2024,bilateral,2420677665.8,"Korea, Republic of"
Africa (excluding high income),2024,other private,5146859.2,"Korea, Republic of"
Africa (excluding high income),2024,bilateral,9479697969.9,Kuwait
Africa (excluding high income),2024,commercial banks,329346831.4,Kuwait
Africa (excluding high income),2024,other private,4023380.4,Kuwait
Africa (excluding high income),2024,commercial banks,807395.3,Liberia
Africa (excluding high income),2024,bilateral,1048526714.2,Libya
Africa (excluding high income),2024,commercial banks,63826000.0,Luxembourg
Africa (excluding high income),2024,other private,30763906.8,Luxembourg
Africa (excluding high income),2024,bilateral,0.0,Malaysia
Africa (excluding high income),2024,bilateral,53.8,Mali
Africa (excluding high income),2024,commercial banks,99434545.9,Mauritius
Africa (excluding high income),2024,bilateral,7000000.0,Morocco
Africa (excluding high income),2024,commercial banks,0.0,Morocco
Africa (excluding high income),2024,bilateral,4151901000.0,Multiple Lenders
Africa (excluding high income),2024,multilateral,171685000.0,Multiple Lenders
Africa (excluding high income),2024,commercial banks,17562093544.2,Multiple Lenders
Africa (excluding high income),2024,other private,2493897000.0,Multiple Lenders
Africa (excluding high income),2024,bilateral,1146769.0,Namibia
Africa (excluding high income),2024,bilateral,191132299.1,Netherlands
Africa (excluding high income),2024,commercial banks,1264971192.1,Netherlands
Africa (excluding high income),2024,other private,178304268.8,Netherlands
Africa (excluding high income),2024,multilateral,3271954920.8,New Development Bank (NDB)
Africa (excluding high income),2024,bilateral,11293290.3,Nigeria
Africa (excluding high income),2024,multilateral,269626515.3,Nordic Development Fund
Africa (excluding high income),2024,multilateral,31829065.6,Nordic Investment Bank
Africa (excluding high income),2024,bilateral,74598962.9,Norway
Africa (excluding high income),2024,multilateral,2359828010.3,OPEC Fund for International Dev.
Africa (excluding high income),2024,bilateral,89507000.0,Oman
Africa (excluding high income),2024,multilateral,7219000.0,Org. of Arab Petroleum Exporting Countries (OAPEC)
Africa (excluding high income),2024,bilateral,12189000.0,Pakistan
Africa (excluding high income),2024,other private,0.0,Panama
Africa (excluding high income),2024,bilateral,244116677.8,Poland
Africa (excluding high income),2024,other private,6080000.0,Poland
Africa (excluding high income),2024,bilateral,979924530.1999999,Portugal
Africa (excluding high income),2024,commercial banks,1002774676.6,Portugal
Africa (excluding high income),2024,other private,32501899.2,Portugal
Africa (excluding high income),2024,bilateral,91599500.0,Qatar
Africa (excluding high income),2024,bilateral,134839000.0,Romania
Africa (excluding high income),2024,bilateral,4478315084.3,Russian Federation
Africa (excluding high income),2024,commercial banks,15514932.6,Russian Federation
Africa (excluding high income),2024,other private,252000.0,Russian Federation
Africa (excluding high income),2024,bilateral,12031213239.6,Saudi Arabia
Africa (excluding high income),2024,commercial banks,16560000.0,Saudi Arabia
Africa (excluding high income),2024,other private,2500000.0,Saudi Arabia
Africa (excluding high income),2024,bilateral,240.7,Senegal
Africa (excluding high income),2024,bilateral,138328000.0,Serbia
Africa (excluding high income),2024,commercial banks,1179000.0,Serbia
Africa (excluding high income),2024,other private,26391214.9,Serbia
Africa (excluding high income),2024,bilateral,600669489.3,South Africa
Africa (excluding high income),2024,commercial banks,2714872558.4,South Africa
Africa (excluding high income),2024,other private,6096000.0,South Africa
Africa (excluding high income),2024,bilateral,1136886196.8000002,Spain
Africa (excluding high income),2024,commercial banks,1158780569.1,Spain
Africa (excluding high income),2024,other private,47359687.400000006,Spain
Africa (excluding high income),2024,bilateral,3405000.0,Sweden
Africa (excluding high income),2024,commercial banks,55643258.0,Sweden
Africa (excluding high income),2024,other private,89905019.7,Sweden
Africa (excluding high income),2024,bilateral,122406505.9,Switzerland
Africa (excluding high income),2024,commercial banks,2616769079.5,Switzerland
Africa (excluding high income),2024,other private,16252489.5,Switzerland
Africa (excluding high income),2024,bilateral,35157000.0,Tanzania
Africa (excluding high income),2024,bilateral,1293000.0,Thailand
Africa (excluding high income),2024,commercial banks,46533412.7,Togo
Africa (excluding high income),2024,bilateral,631942839.0,Turkiye
Africa (excluding high income),2024,other private,0.0,Turkiye
Africa (excluding high income),2024,multilateral,3571000.0,UN-General Assembly (UNGA)
Africa (excluding high income),2024,other private,681000.0,Uganda
Africa (excluding high income),2024,bilateral,1871233868.6000001,United Arab Emirates
Africa (excluding high income),2024,commercial banks,4010476531.0,United Arab Emirates
Africa (excluding high income),2024,other private,19473926.2,United Arab Emirates
Africa (excluding high income),2024,bilateral,1023269196.8,United Kingdom
Africa (excluding high income),2024,commercial banks,12614336641.1,United Kingdom
Africa (excluding high income),2024,other private,1114047930.0,United Kingdom
Africa (excluding high income),2024,bilateral,1161217978.2,United States
Africa (excluding high income),2024,commercial banks,5215252215.8,United States
Africa (excluding high income),2024,other private,387803000.0,United States
Africa (excluding high income),2024,bilateral,18749000.0,"Venezuela, Republic Bolivarian"
Africa (excluding high income),2024,multilateral,2838280334.0,West African Development Bank - BOAD
Africa (excluding high income),2024,multilateral,40828886000.0,World Bank-IBRD
Africa (excluding high income),2024,multilateral,110045093000.0,World Bank-IDA
Africa (excluding high income),2024,multilateral,302270032.8,World Bank-MIGA
Africa (excluding high income),2024,multilateral,39166530.0,World Trade Organization
Sub-Saharan Africa (excluding high income),2024,commercial banks,222875733.0,Africa Finance Corporation
Sub-Saharan Africa (excluding high income),2024,multilateral,36521820778.5,African Dev. Bank
Sub-Saharan Africa (excluding high income),2024,multilateral,5447253126.1,African Export-Import Bank
Sub-Saharan Africa (excluding high income),2024,bilateral,157641377.3,Algeria
Sub-Saharan Africa (excluding high income),2024,bilateral,400478000.0,Angola
Sub-Saharan Africa (excluding high income),2024,multilateral,31149000.0,Arab African International Bank
Sub-Saharan Africa (excluding high income),2024,commercial banks,0.0,Arab Bank for Economic Dev. in Africa (BADEA)
Sub-Saharan Africa (excluding high income),2024,multilateral,2160203561.6,Arab Bank for Economic Dev. in Africa (BADEA)
Sub-Saharan Africa (excluding high income),2024,multilateral,2355641440.6,Arab Fund for Economic & Social Development
Sub-Saharan Africa (excluding high income),2024,multilateral,576238406.4,Arab Monetary Fund
Sub-Saharan Africa (excluding high income),2024,bilateral,10408000.0,Argentina
Sub-Saharan Africa (excluding high income),2024,multilateral,200143046.1,Asian Infrastructure Investment Bank
Sub-Saharan Africa (excluding high income),2024,bilateral,219377240.7,Austria
Sub-Saharan Africa (excluding high income),2024,commercial banks,576794324.3,Austria
Sub-Saharan Africa (excluding high income),2024,other private,1229000.0,Austria
Sub-Saharan Africa (excluding high income),2024,commercial banks,750000.0,Bahamas
Sub-Saharan Africa (excluding high income),2024,other private,0.0,Bahrain
Sub-Saharan Africa (excluding high income),2024,bilateral,484936569.8,Belgium
Sub-Saharan Africa (excluding high income),2024,commercial banks,999609210.2,Belgium
Sub-Saharan Africa (excluding high income),2024,other private,28235494.4,Belgium
Sub-Saharan Africa (excluding high income),2024,bilateral,68245.6,Benin
Sub-Saharan Africa (excluding high income),2024,bonds,149430967857.3,Bondholders
Sub-Saharan Africa (excluding high income),2024,bilateral,467058000.0,Brazil
Sub-Saharan Africa (excluding high income),2024,commercial banks,120421000.0,Brazil
Sub-Saharan Africa (excluding high income),2024,bilateral,79398000.0,Bulgaria
Sub-Saharan Africa (excluding high income),2024,bilateral,22626089.9,Cameroon
Sub-Saharan Africa (excluding high income),2024,bilateral,332731941.5,Canada
Sub-Saharan Africa (excluding high income),2024,commercial banks,49996000.0,Canada
Sub-Saharan Africa (excluding high income),2024,multilateral,308906085.0,Central Bank of West African States (BCEAO)
Sub-Saharan Africa (excluding high income),2024,bilateral,372.2,Chad
Sub-Saharan Africa (excluding high income),2024,bilateral,56775669617.7,China
Sub-Saharan Africa (excluding high income),2024,commercial banks,15054010175.1,China
Sub-Saharan Africa (excluding high income),2024,other private,2686349000.0,China
Sub-Saharan Africa (excluding high income),2024,bilateral,89167790.3,"Congo, Rep."
Sub-Saharan Africa (excluding high income),2024,bilateral,46722094.7,"Cote D`Ivoire, Republic Of"
Sub-Saharan Africa (excluding high income),2024,commercial banks,622562134.9,"Cote D`Ivoire, Republic Of"
Sub-Saharan Africa (excluding high income),2024,other private,20000000.0,"Cote D`Ivoire, Republic Of"
Sub-Saharan Africa (excluding high income),2024,bilateral,39903000.0,Croatia
Sub-Saharan Africa (excluding high income),2024,bilateral,225362662.7,Czechia
Sub-Saharan Africa (excluding high income),2024,commercial banks,184822387.8,Czechia
Sub-Saharan Africa (excluding high income),2024,bilateral,62484803.4,Denmark
Sub-Saharan Africa (excluding high income),2024,commercial banks,296788628.5,Denmark
Sub-Saharan Africa (excluding high income),2024,multilateral,390085257.2,Dev. Bank of the Central African States (BDEAC)
Sub-Saharan Africa (excluding high income),2024,multilateral,2234218793.4,Eastern & Southern African Trade & Dev. Bank (TDB)
Sub-Saharan Africa (excluding high income),2024,multilateral,755032372.7,Economic Community of West African States (ECOWAS)
Sub-Saharan Africa (excluding high income),2024,bilateral,187736000.0,Egypt
Sub-Saharan Africa (excluding high income),2024,other private,76632000.0,Egypt
Sub-Saharan Africa (excluding high income),2024,bilateral,30092063.9,Equatorial Guinea
Sub-Saharan Africa (excluding high income),2024,multilateral,57101060.7,European Development Fund (EDF)
Sub-Saharan Africa (excluding high income),2024,multilateral,9314568.2,European Economic Community (EEC)
Sub-Saharan Africa (excluding high income),2024,multilateral,3096042833.8,European Investment Bank
Sub-Saharan Africa (excluding high income),2024,bilateral,67157769.0,Finland
Sub-Saharan Africa (excluding high income),2024,other private,5667000.0,Finland
Sub-Saharan Africa (excluding high income),2024,bilateral,10345768319.6,France
Sub-Saharan Africa (excluding high income),2024,commercial banks,6074632063.3,France
Sub-Saharan Africa (excluding high income),2024,other private,669833522.4,France
Sub-Saharan Africa (excluding high income),2024,bilateral,2096970891.6,"Germany, Fed. Rep. of"
Sub-Saharan Africa (excluding high income),2024,commercial banks,3868023559.8,"Germany, Fed. Rep. of"
Sub-Saharan Africa (excluding high income),2024,other private,199576845.6,"Germany, Fed. Rep. of"
Sub-Saharan Africa (excluding high income),2024,bilateral,2032000.0,Greece
Sub-Saharan Africa (excluding high income),2024,other private,446000.0,Greece
Sub-Saharan Africa (excluding high income),2024,commercial banks,10000000.0,Hong Kong
Sub-Saharan Africa (excluding high income),2024,other private,304841000.0,Hong Kong
Sub-Saharan Africa (excluding high income),2024,bilateral,19524000.0,Hungary
Sub-Saharan Africa (excluding high income),2024,other private,5783000.0,Hungary
Sub-Saharan Africa (excluding high income),2024,bilateral,4501172880.7,India
Sub-Saharan Africa (excluding high income),2024,other private,19772264.9,India
Sub-Saharan Africa (excluding high income),2024,multilateral,0.0,International Bank for Economic Cooperation (IBEC)
Sub-Saharan Africa (excluding high income),2024,multilateral,3694909758.5,International Fund for Agricultural Dev.
Sub-Saharan Africa (excluding high income),2024,bilateral,180304000.0,"Iran, Islamic Republic Of"
Sub-Saharan Africa (excluding high income),2024,bilateral,387374867.1,Iraq
Sub-Saharan Africa (excluding high income),2024,bilateral,1643460.6,Ireland
Sub-Saharan Africa (excluding high income),2024,commercial banks,697221000.0,Ireland
Sub-Saharan Africa (excluding high income),2024,multilateral,7727753162.2,Islamic Dev. Bank
Sub-Saharan Africa (excluding high income),2024,commercial banks,1482204606.9,Israel
Sub-Saharan Africa (excluding high income),2024,other private,2731933000.0,Israel
Sub-Saharan Africa (excluding high income),2024,bilateral,1038121006.1,Italy
Sub-Saharan Africa (excluding high income),2024,commercial banks,1552432372.5,Italy
Sub-Saharan Africa (excluding high income),2024,other private,81378228.7,Italy
Sub-Saharan Africa (excluding high income),2024,bilateral,4237756697.6,Japan
Sub-Saharan Africa (excluding high income),2024,commercial banks,1581943605.5,Japan
Sub-Saharan Africa (excluding high income),2024,other private,195688000.3,Japan
Sub-Saharan Africa (excluding high income),2024,bilateral,1994111944.6,"Korea, Republic of"
Sub-Saharan Africa (excluding high income),2024,other private,5146859.2,"Korea, Republic of"
Sub-Saharan Africa (excluding high income),2024,bilateral,2882895891.8,Kuwait
Sub-Saharan Africa (excluding high income),2024,commercial banks,329346831.4,Kuwait
Sub-Saharan Africa (excluding high income),2024,other private,4023380.4,Kuwait
Sub-Saharan Africa (excluding high income),2024,commercial banks,807395.3,Liberia
Sub-Saharan Africa (excluding high income),2024,bilateral,998526714.2,Libya
Sub-Saharan Africa (excluding high income),2024,other private,30763906.8,Luxembourg
Sub-Saharan Africa (excluding high income),2024,bilateral,0.0,Malaysia
Sub-Saharan Africa (excluding high income),2024,bilateral,53.8,Mali
Sub-Saharan Africa (excluding high income),2024,commercial banks,99434545.9,Mauritius
Sub-Saharan Africa (excluding high income),2024,bilateral,7000000.0,Morocco
Sub-Saharan Africa (excluding high income),2024,commercial banks,0.0,Morocco
Sub-Saharan Africa (excluding high income),2024,bilateral,4151901000.0,Multiple Lenders
Sub-Saharan Africa (excluding high income),2024,commercial banks,9770494856.5,Multiple Lenders
Sub-Saharan Africa (excluding high income),2024,multilateral,87693000.0,Multiple Lenders
Sub-Saharan Africa (excluding high income),2024,other private,2493897000.0,Multiple Lenders
Sub-Saharan Africa (excluding high income),2024,bilateral,1146769.0,Namibia
Sub-Saharan Africa (excluding high income),2024,bilateral,98293078.4,Netherlands
Sub-Saharan Africa (excluding high income),2024,commercial banks,1264971192.1,Netherlands
Sub-Saharan Africa (excluding high income),2024,other private,178304268.8,Netherlands
Sub-Saharan Africa (excluding high income),2024,multilateral,3271954920.8,New Development Bank (NDB)
Sub-Saharan Africa (excluding high income),2024,bilateral,11293290.3,Nigeria
Sub-Saharan Africa (excluding high income),2024,multilateral,269626515.3,Nordic Development Fund
Sub-Saharan Africa (excluding high income),2024,multilateral,29222465.5,Nordic Investment Bank
Sub-Saharan Africa (excluding high income),2024,bilateral,74598962.9,Norway
Sub-Saharan Africa (excluding high income),2024,multilateral,1702468486.7,OPEC Fund for International Dev.
Sub-Saharan Africa (excluding high income),2024,bilateral,89507000.0,Oman
Sub-Saharan Africa (excluding high income),2024,multilateral,7219000.0,Org. of Arab Petroleum Exporting Countries (OAPEC)
Sub-Saharan Africa (excluding high income),2024,bilateral,12189000.0,Pakistan
Sub-Saharan Africa (excluding high income),2024,other private,0.0,Panama
Sub-Saharan Africa (excluding high income),2024,bilateral,244116677.8,Poland
Sub-Saharan Africa (excluding high income),2024,other private,6080000.0,Poland
Sub-Saharan Africa (excluding high income),2024,bilateral,833595465.2,Portugal
Sub-Saharan Africa (excluding high income),2024,commercial banks,986801589.1,Portugal
Sub-Saharan Africa (excluding high income),2024,other private,32501899.2,Portugal
Sub-Saharan Africa (excluding high income),2024,bilateral,84117500.0,Qatar
Sub-Saharan Africa (excluding high income),2024,bilateral,134839000.0,Romania
Sub-Saharan Africa (excluding high income),2024,bilateral,396110787.6,Russian Federation
Sub-Saharan Africa (excluding high income),2024,commercial banks,15514932.6,Russian Federation
Sub-Saharan Africa (excluding high income),2024,other private,252000.0,Russian Federation
Sub-Saharan Africa (excluding high income),2024,bilateral,4539646176.7,Saudi Arabia
Sub-Saharan Africa (excluding high income),2024,commercial banks,16560000.0,Saudi Arabia
Sub-Saharan Africa (excluding high income),2024,other private,2500000.0,Saudi Arabia
Sub-Saharan Africa (excluding high income),2024,bilateral,240.7,Senegal
Sub-Saharan Africa (excluding high income),2024,bilateral,138328000.0,Serbia
Sub-Saharan Africa (excluding high income),2024,commercial banks,1179000.0,Serbia
Sub-Saharan Africa (excluding high income),2024,other private,26391214.9,Serbia
Sub-Saharan Africa (excluding high income),2024,bilateral,600669489.3,South Africa
Sub-Saharan Africa (excluding high income),2024,commercial banks,2214872558.4,South Africa
Sub-Saharan Africa (excluding high income),2024,other private,6096000.0,South Africa
Sub-Saharan Africa (excluding high income),2024,bilateral,310084658.3,Spain
Sub-Saharan Africa (excluding high income),2024,commercial banks,1055188733.4,Spain
Sub-Saharan Africa (excluding high income),2024,other private,47359687.4,Spain
Sub-Saharan Africa (excluding high income),2024,bilateral,3405000.0,Sweden
Sub-Saharan Africa (excluding high income),2024,commercial banks,55643258.0,Sweden
Sub-Saharan Africa (excluding high income),2024,other private,89905019.7,Sweden
Sub-Saharan Africa (excluding high income),2024,bilateral,122406505.9,Switzerland
Sub-Saharan Africa (excluding high income),2024,commercial banks,2344039129.3,Switzerland
Sub-Saharan Africa (excluding high income),2024,other private,16155122.8,Switzerland
Sub-Saharan Africa (excluding high income),2024,bilateral,35157000.0,Tanzania
Sub-Saharan Africa (excluding high income),2024,bilateral,1293000.0,Thailand
Sub-Saharan Africa (excluding high income),2024,commercial banks,46533412.7,Togo
Sub-Saharan Africa (excluding high income),2024,bilateral,479099839.0,Turkiye
Sub-Saharan Africa (excluding high income),2024,other private,0.0,Turkiye
Sub-Saharan Africa (excluding high income),2024,other private,681000.0,Uganda
Sub-Saharan Africa (excluding high income),2024,bilateral,1667015802.6,United Arab Emirates
Sub-Saharan Africa (excluding high income),2024,commercial banks,410479531.0,United Arab Emirates
Sub-Saharan Africa (excluding high income),2024,other private,371926.2,United Arab Emirates
Sub-Saharan Africa (excluding high income),2024,bilateral,973269196.8,United Kingdom
Sub-Saharan Africa (excluding high income),2024,commercial banks,10970033002.6,United Kingdom
Sub-Saharan Africa (excluding high income),2024,other private,1114047930.0,United Kingdom
Sub-Saharan Africa (excluding high income),2024,bilateral,1058939978.2,United States
Sub-Saharan Africa (excluding high income),2024,commercial banks,5006752215.8,United States
Sub-Saharan Africa (excluding high income),2024,other private,18750000.0,United States
Sub-Saharan Africa (excluding high income),2024,bilateral,18749000.0,"Venezuela, Republic Bolivarian"
Sub-Saharan Africa (excluding high income),2024,multilateral,2838280334.0,West African Development Bank - BOAD
Sub-Saharan Africa (excluding high income),2024,multilateral,14105494000.0,World Bank-IBRD
Sub-Saharan Africa (excluding high income),2024,multilateral,109648647000.0,World Bank-IDA
Sub-Saharan Africa (excluding high income),2024,multilateral,302270032.8,World Bank-MIGA
Algeria,2024,multilateral,717117549.5,African Dev. Bank
Algeria,2024,bilateral,15446365.2,Belgium
Algeria,2024,bilateral,85595.0,Canada
Algeria,2024,bilateral,64137564.0,China
Algeria,2024,bilateral,19218611.1,France
Algeria,2024,bilateral,38439.3,"Germany, Fed. Rep. of"
Algeria,2024,bilateral,31591910.1,Italy
Algeria,2024,bilateral,2821576.8,Japan
Algeria,2024,bilateral,1093600.0,Saudi Arabia
Angola,2024,multilateral,1295689052.5,African Dev. Bank
Angola,2024,multilateral,116254808.6,African Export-Import Bank
Angola,2024,commercial banks,149829280.1,Austria
Angola,2024,bilateral,0.0,Belgium
Angola,2024,commercial banks,48062000.0,Belgium
Angola,2024,bonds,11042413000.0,Bondholders
Angola,2024,bilateral,244115000.0,Canada
Angola,2024,commercial banks,0.0,Canada
Angola,2024,bilateral,2596005403.6,China
Angola,2024,commercial banks,11805826000.0,China
Angola,2024,other private,76550000.0,Egypt
Angola,2024,multilateral,4196117.1,European Investment Bank
Angola,2024,bilateral,249162503.7,France
Angola,2024,commercial banks,232639301.3,France
Angola,2024,commercial banks,656717517.2,"Germany, Fed. Rep. of"
Angola,2024,bilateral,2500000.0,India
Angola,2024,multilateral,7340973.8,International Fund for Agricultural Dev.
Angola,2024,commercial banks,657681000.0,Ireland
Angola,2024,other private,2731933000.0,Israel
Angola,2024,bilateral,14961198.9,Italy
Angola,2024,commercial banks,559164030.3,Italy
Angola,2024,bilateral,265015376.9,Japan
Angola,2024,other private,195688000.3,Japan
Angola,2024,bilateral,212779000.0,"Korea, Republic of"
Angola,2024,other private,30763906.8,Luxembourg
Angola,2024,commercial banks,21874039.5,Mauritius
Angola,2024,commercial banks,1580000000.0,Multiple Lenders
Angola,2024,bilateral,1684056.9,Netherlands
Angola,2024,commercial banks,620615788.1,Netherlands
Angola,2024,multilateral,506000.0,OPEC Fund for International Dev.
Angola,2024,bilateral,53583677.8,Poland
Angola,2024,bilateral,251441000.0,Portugal
Angola,2024,commercial banks,511014132.0,Portugal
Angola,2024,other private,32501899.2,Portugal
Angola,2024,bilateral,7546000.0,Serbia
Angola,2024,bilateral,197355626.2,South Africa
Angola,2024,commercial banks,3931000.0,South Africa
Angola,2024,bilateral,15175000.0,Spain
Angola,2024,commercial banks,707782446.6,Spain
Angola,2024,other private,0.0,Spain
Angola,2024,commercial banks,227211585.6,United Arab Emirates
Angola,2024,commercial banks,3757069202.5,United Kingdom
Angola,2024,other private,143267000.0,United Kingdom
Angola,2024,bilateral,5467000.0,United States
Angola,2024,commercial banks,1643000.0,United States
Angola,2024,multilateral,4491170000.0,World Bank-IBRD
Angola,2024,multilateral,283421000.0,World Bank-IDA
Benin,2024,multilateral,606395215.7,African Dev. Bank
Benin,2024,multilateral,91756000.0,Arab Bank for Economic Dev. in Africa (BADEA)
Benin,2024,bonds,2222489680.8,Bondholders
Benin,2024,bilateral,153185000.0,Brazil
Benin,2024,bilateral,293856587.1,China
Benin,2024,commercial banks,71765134.2,China
Benin,2024,bilateral,0.0,Denmark
Benin,2024,multilateral,73007109.3,Economic Community of West African States (ECOWAS)
Benin,2024,multilateral,137221028.7,European Investment Bank
Benin,2024,bilateral,331342610.4,France
Benin,2024,commercial banks,601398432.0,France
Benin,2024,commercial banks,691850260.5,"Germany, Fed. Rep. of"
Benin,2024,bilateral,13322000.0,India
Benin,2024,multilateral,79858570.5,International Fund for Agricultural Dev.
Benin,2024,multilateral,369926451.2,Islamic Dev. Bank
Benin,2024,bilateral,6025620.0,Japan
Benin,2024,commercial banks,0.0,Japan
Benin,2024,bilateral,36567624.5,Kuwait
Benin,2024,commercial banks,112215744.6,Netherlands
Benin,2024,multilateral,12569651.1,Nordic Development Fund
Benin,2024,bilateral,11723986.5,Norway
Benin,2024,multilateral,46653000.0,OPEC Fund for International Dev.
Benin,2024,bilateral,79505908.3,Saudi Arabia
Benin,2024,bilateral,296800.5,United Arab Emirates
Benin,2024,bilateral,82734879.3,United Kingdom
Benin,2024,commercial banks,159612440.4,United Kingdom
Benin,2024,multilateral,317749024.5,West African Development Bank - BOAD
Benin,2024,multilateral,2317489000.0,World Bank-IDA
Botswana,2024,multilateral,900971841.2,African Dev. Bank
