debtor_name,year,category,value,creditor_name,value_annotation,name_annotation
Africa (excluding high income),2024,multilateral,390085257.2,Dev. Bank of the Central African States (BDEAC),US$390.1 million,Dev. Bank of the Central African States (BDEAC)
Africa (excluding high income),2024,multilateral,2234218793.4,Eastern & Southern African Trade & Dev. Bank (TDB),US$2.2 billion,Eastern & Southern African Trade & Dev. Bank (TDB)
Africa (excluding high income),2024,multilateral,755032372.6999999,Economic Community of West African States (ECOWAS),US$755.0 million,Economic Community of West African States (ECOWAS)
Africa (excluding high income),2024,bilateral,187736000.0,Egypt,US$187.7 million,Egypt (bilateral)
Africa (excluding high income),2024,other private,76632000.0,Egypt,US$76.6 million,Egypt (other private)
Africa (excluding high income),2024,bilateral,30092063.900000002,Equatorial Guinea,US$30.1 million,Equatorial Guinea (bilateral)
Africa (excluding high income),2024,multilateral,2545629953.5,European Bank for Reconstruction and Dev. (EBRD),US$2.5 billion,European Bank for Reconstruction and Dev. (EBRD)
Africa (excluding high income),2024,multilateral,57301568.4,European Development Fund (EDF),US$57.3 million,European Development Fund (EDF)
Africa (excluding high income),2024,multilateral,9314568.2,European Economic Community (EEC),US$9.3 million,European Economic Community (EEC)
Africa (excluding high income),2024,multilateral,11581801967.7,European Investment Bank,US$11.6 billion,European Investment Bank
Africa (excluding high income),2024,multilateral,311670000.0,European Social Fund (ESF),US$311.7 million,European Social Fund (ESF)
Africa (excluding high income),2024,multilateral,2181690000.0,European Union,US$2.2 billion,European Union
Africa (excluding high income),2024,bilateral,71470242.89999999,Finland,US$71.5 million,Finland (bilateral)
Africa (excluding high income),2024,other private,5667000.0,Finland,US$5.7 million,Finland (other private)
Africa (excluding high income),2024,bilateral,15239669221.7,France,US$15.2 billion,France (bilateral)
Africa (excluding high income),2024,commercial banks,9433485480.699999,France,US$9.4 billion,France (commercial banks)
Africa (excluding high income),2024,other private,682746010.4999999,France,US$682.7 million,France (other private)
Africa (excluding high income),2024,bilateral,9304359796.2,"Germany, Fed. Rep. of",US$9.3 billion,"Germany, Fed. Rep. of (bilateral)"
Africa (excluding high income),2024,commercial banks,4092827936.3,"Germany, Fed. Rep. of",US$4.1 billion,"Germany, Fed. Rep. of (commercial banks)"
Africa (excluding high income),2024,other private,199576845.6,"Germany, Fed. Rep. of",US$199.6 million,"Germany, Fed. Rep. of (other private)"
Africa (excluding high income),2024,bilateral,2032000.0,Greece,US$2.0 million,Greece (bilateral)
Africa (excluding high income),2024,other private,446000.0,Greece,"US$446,000",Greece (other private)
Africa (excluding high income),2024,commercial banks,310000000.0,Hong Kong,US$310 million,Hong Kong (commercial banks)
Africa (excluding high income),2024,other private,304841000.0,Hong Kong,US$304.8 million,Hong Kong (other private)
Africa (excluding high income),2024,bilateral,740986027.2,Hungary,US$741.0 million,Hungary (bilateral)
Africa (excluding high income),2024,other private,5783000.0,Hungary,US$5.8 million,Hungary (other private)
Africa (excluding high income),2024,bilateral,4539743880.7,India,US$4.5 billion,India (bilateral)
Africa (excluding high income),2024,other private,19772264.900000002,India,US$19.8 million,India (other private)
Africa (excluding high income),2024,multilateral,0.0,International Bank for Economic Cooperation (IBEC),US$0,International Bank for Economic Cooperation (IBEC)
Africa (excluding high income),2024,multilateral,254750000.0,International Finance Corporation,US$254.8 million,International Finance Corporation
Africa (excluding high income),2024,multilateral,3911099352.4,International Fund for Agricultural Dev.,US$3.9 billion,International Fund for Agricultural Dev.
Africa (excluding high income),2024,bilateral,189508654.0,"Iran, Islamic Republic Of",US$189.5 million,"Iran, Islamic Republic Of (bilateral)"
Africa (excluding high income),2024,bilateral,387374867.1,Iraq,US$387.4 million,Iraq (bilateral)
Africa (excluding high income),2024,bilateral,1643460.6,Ireland,US$1.6 million,Ireland (bilateral)
Africa (excluding high income),2024,commercial banks,697221000.0,Ireland,US$697.2 million,Ireland (commercial banks)
Africa (excluding high income),2024,other private,32361471.6,Ireland,US$32.4 million,Ireland (other private)
Africa (excluding high income),2024,multilateral,10454166157.199999,Islamic Dev. Bank,US$10.5 billion,Islamic Dev. Bank
Africa (excluding high income),2024,commercial banks,1482204606.9,Israel,US$1.5 billion,Israel (commercial banks)
Africa (excluding high income),2024,other private,2731933000.0,Israel,US$2.7 billion,Israel (other private)
Africa (excluding high income),2024,bilateral,1682462838.9,Italy,US$1.7 billion,Italy (bilateral)
Africa (excluding high income),2024,commercial banks,1955663746.2,Italy,US$2.0 billion,Italy (commercial banks)
Africa (excluding high income),2024,other private,81378228.7,Italy,US$81.4 million,Italy (other private)
Africa (excluding high income),2024,bilateral,8317120725.6,Japan,US$8.3 billion,Japan (bilateral)
Africa (excluding high income),2024,commercial banks,1581943605.5,Japan,US$1.6 billion,Japan (commercial banks)
Africa (excluding high income),2024,other private,195688000.3,Japan,US$195.7 million,Japan (other private)
Africa (excluding high income),2024,bilateral,2420677665.8,"Korea, Republic of",US$2.4 billion,"Korea, Republic of (bilateral)"
Africa (excluding high income),2024,other private,5146859.2,"Korea, Republic of",US$5.1 million,"Korea, Republic of (other private)"
Africa (excluding high income),2024,bilateral,9479697969.9,Kuwait,US$9.5 billion,Kuwait (bilateral)
Africa (excluding high income),2024,commercial banks,329346831.4,Kuwait,US$329.3 million,Kuwait (commercial banks)
Africa (excluding high income),2024,other private,4023380.4,Kuwait,US$4.0 million,Kuwait (other private)
Africa (excluding high income),2024,commercial banks,807395.3,Liberia,"US$807,395",Liberia (commercial banks)
Africa (excluding high income),2024,bilateral,1048526714.2,Libya,US$1.0 billion,Libya (bilateral)
Africa (excluding high income),2024,commercial banks,63826000.0,Luxembourg,US$63.8 million,Luxembourg (commercial banks)
Africa (excluding high income),2024,other private,30763906.8,Luxembourg,US$30.8 million,Luxembourg (other private)
Africa (excluding high income),2024,bilateral,0.0,Malaysia,US$0,Malaysia (bilateral)
Africa (excluding high income),2024,bilateral,53.8,Mali,US$54,Mali (bilateral)
Africa (excluding high income),2024,commercial banks,99434545.9,Mauritius,US$99.4 million,Mauritius (commercial banks)
Africa (excluding high income),2024,bilateral,7000000.0,Morocco,US$7 million,Morocco (bilateral)
Africa (excluding high income),2024,commercial banks,0.0,Morocco,US$0,Morocco (commercial banks)
Africa (excluding high income),2024,bilateral,4151901000.0,Multiple Lenders,US$4.2 billion,Multiple Lenders (bilateral)
Africa (excluding high income),2024,multilateral,171685000.0,Multiple Lenders,US$171.7 million,Multiple Lenders
Africa (excluding high income),2024,commercial banks,17562093544.2,Multiple Lenders,US$17.6 billion,Multiple Lenders (commercial banks)
Africa (excluding high income),2024,other private,2493897000.0,Multiple Lenders,US$2.5 billion,Multiple Lenders (other private)
Africa (excluding high income),2024,bilateral,1146769.0,Namibia,US$1.1 million,Namibia (bilateral)
Africa (excluding high income),2024,bilateral,191132299.1,Netherlands,US$191.1 million,Netherlands (bilateral)
Africa (excluding high income),2024,commercial banks,1264971192.1,Netherlands,US$1.3 billion,Netherlands (commercial banks)
Africa (excluding high income),2024,other private,178304268.8,Netherlands,US$178.3 million,Netherlands (other private)
Africa (excluding high income),2024,multilateral,3271954920.8,New Development Bank (NDB),US$3.3 billion,New Development Bank (NDB)
Africa (excluding high income),2024,bilateral,11293290.3,Nigeria,US$11.3 million,Nigeria (bilateral)
Africa (excluding high income),2024,multilateral,269626515.3,Nordic Development Fund,US$269.6 million,Nordic Development Fund
Africa (excluding high income),2024,multilateral,31829065.6,Nordic Investment Bank,US$31.8 million,Nordic Investment Bank
Africa (excluding high income),2024,bilateral,74598962.9,Norway,US$74.6 million,Norway (bilateral)
Africa (excluding high income),2024,multilateral,2359828010.3,OPEC Fund for International Dev.,US$2.4 billion,OPEC Fund for International Dev.
Africa (excluding high income),2024,bilateral,89507000.0,Oman,US$89.5 million,Oman (bilateral)
Africa (excluding high income),2024,multilateral,7219000.0,Org. of Arab Petroleum Exporting Countries (OAPEC),US$7.2 million,Org. of Arab Petroleum Exporting Countries (OAPEC)
Africa (excluding high income),2024,bilateral,12189000.0,Pakistan,US$12.2 million,Pakistan (bilateral)
Africa (excluding high income),2024,other private,0.0,Panama,US$0,Panama (other private)
Africa (excluding high income),2024,bilateral,244116677.8,Poland,US$244.1 million,Poland (bilateral)
Africa (excluding high income),2024,other private,6080000.0,Poland,US$6.1 million,Poland (other private)
Africa (excluding high income),2024,bilateral,979924530.1999999,Portugal,US$979.9 million,Portugal (bilateral)
Africa (excluding high income),2024,commercial banks,1002774676.6,Portugal,US$1.0 billion,Portugal (commercial banks)
Africa (excluding high income),2024,other private,32501899.2,Portugal,US$32.5 million,Portugal (other private)
Africa (excluding high income),2024,bilateral,91599500.0,Qatar,US$91.6 million,Qatar (bilateral)
Africa (excluding high income),2024,bilateral,134839000.0,Romania,US$134.8 million,Romania (bilateral)
Africa (excluding high income),2024,bilateral,4478315084.3,Russian Federation,US$4.5 billion,Russian Federation (bilateral)
Africa (excluding high income),2024,commercial banks,15514932.6,Russian Federation,US$15.5 million,Russian Federation (commercial banks)
Africa (excluding high income),2024,other private,252000.0,Russian Federation,"US$252,000",Russian Federation (other private)
Africa (excluding high income),2024,bilateral,12031213239.6,Saudi Arabia,US$12.0 billion,Saudi Arabia (bilateral)
Africa (excluding high income),2024,commercial banks,16560000.0,Saudi Arabia,US$16.6 million,Saudi Arabia (commercial banks)
Africa (excluding high income),2024,other private,2500000.0,Saudi Arabia,US$2.5 million,Saudi Arabia (other private)
Africa (excluding high income),2024,bilateral,240.7,Senegal,US$241,Senegal (bilateral)
Africa (excluding high income),2024,bilateral,138328000.0,Serbia,US$138.3 million,Serbia (bilateral)
Africa (excluding high income),2024,commercial banks,1179000.0,Serbia,US$1.2 million,Serbia (commercial banks)
Africa (excluding high income),2024,other private,26391214.9,Serbia,US$26.4 million,Serbia (other private)
Africa (excluding high income),2024,bilateral,600669489.3,South Africa,US$600.7 million,South Africa (bilateral)
Africa (excluding high income),2024,commercial banks,2714872558.4,South Africa,US$2.7 billion,South Africa (commercial banks)
Africa (excluding high income),2024,other private,6096000.0,South Africa,US$6.1 million,South Africa (other private)
Africa (excluding high income),2024,bilateral,1136886196.8000002,Spain,US$1.1 billion,Spain (bilateral)
Africa (excluding high income),2024,commercial banks,1158780569.1,Spain,US$1.2 billion,Spain (commercial banks)
Africa (excluding high income),2024,other private,47359687.400000006,Spain,US$47.4 million,Spain (other private)
Africa (excluding high income),2024,bilateral,3405000.0,Sweden,US$3.4 million,Sweden (bilateral)
Africa (excluding high income),2024,commercial banks,55643258.0,Sweden,US$55.6 million,Sweden (commercial banks)
Africa (excluding high income),2024,other private,89905019.7,Sweden,US$89.9 million,Sweden (other private)
Africa (excluding high income),2024,bilateral,122406505.9,Switzerland,US$122.4 million,Switzerland (bilateral)
Africa (excluding high income),2024,commercial banks,2616769079.5,Switzerland,US$2.6 billion,Switzerland (commercial banks)
Africa (excluding high income),2024,other private,16252489.5,Switzerland,US$16.3 million,Switzerland (other private)
Africa (excluding high income),2024,bilateral,35157000.0,Tanzania,US$35.2 million,Tanzania (bilateral)
Africa (excluding high income),2024,bilateral,1293000.0,Thailand,US$1.3 million,Thailand (bilateral)
Africa (excluding high income),2024,commercial banks,46533412.7,Togo,US$46.5 million,Togo (commercial banks)
Africa (excluding high income),2024,bilateral,631942839.0,Turkiye,US$631.9 million,Turkiye (bilateral)
Africa (excluding high income),2024,other private,0.0,Turkiye,US$0,Turkiye (other private)
Africa (excluding high income),2024,multilateral,3571000.0,UN-General Assembly (UNGA),US$3.6 million,UN-General Assembly (UNGA)
Africa (excluding high income),2024,other private,681000.0,Uganda,"US$681,000",Uganda (other private)
Africa (excluding high income),2024,bilateral,1871233868.6000001,United Arab Emirates,US$1.9 billion,United Arab Emirates (bilateral)
Africa (excluding high income),2024,commercial banks,4010476531.0,United Arab Emirates,US$4.0 billion,United Arab Emirates (commercial banks)
Africa (excluding high income),2024,other private,19473926.2,United Arab Emirates,US$19.5 million,United Arab Emirates (other private)
Africa (excluding high income),2024,bilateral,1023269196.8,United Kingdom,US$1.0 billion,United Kingdom (bilateral)
Africa (excluding high income),2024,commercial banks,12614336641.1,United Kingdom,US$12.6 billion,United Kingdom (commercial banks)
Africa (excluding high income),2024,other private,1114047930.0,United Kingdom,US$1.1 billion,United Kingdom (other private)
Africa (excluding high income),2024,bilateral,1161217978.2,United States,US$1.2 billion,United States (bilateral)
Africa (excluding high income),2024,commercial banks,5215252215.8,United States,US$5.2 billion,United States (commercial banks)
Africa (excluding high income),2024,other private,387803000.0,United States,US$387.8 million,United States (other private)
Africa (excluding high income),2024,bilateral,18749000.0,"Venezuela, Republic Bolivarian",US$18.7 million,"Venezuela, Republic Bolivarian (bilateral)"
Africa (excluding high income),2024,multilateral,2838280334.0,West African Development Bank - BOAD,US$2.8 billion,West African Development Bank - BOAD
Africa (excluding high income),2024,multilateral,40828886000.0,World Bank-IBRD,US$40.8 billion,World Bank-IBRD
Africa (excluding high income),2024,multilateral,110045093000.0,World Bank-IDA,US$110.0 billion,World Bank-IDA
Africa (excluding high income),2024,multilateral,302270032.8,World Bank-MIGA,US$302.3 million,World Bank-MIGA
Africa (excluding high income),2024,multilateral,39166530.0,World Trade Organization,US$39.2 million,World Trade Organization
Sub-Saharan Africa (excluding high income),2024,commercial banks,222875733.0,Africa Finance Corporation,US$222.9 million,Africa Finance Corporation (commercial banks)
Sub-Saharan Africa (excluding high income),2024,multilateral,36521820778.5,African Dev. Bank,US$36.5 billion,African Dev. Bank
Sub-Saharan Africa (excluding high income),2024,multilateral,5447253126.1,African Export-Import Bank,US$5.4 billion,African Export-Import Bank
Sub-Saharan Africa (excluding high income),2024,bilateral,157641377.3,Algeria,US$157.6 million,Algeria (bilateral)
Sub-Saharan Africa (excluding high income),2024,bilateral,400478000.0,Angola,US$400.5 million,Angola (bilateral)
Sub-Saharan Africa (excluding high income),2024,multilateral,31149000.0,Arab African International Bank,US$31.1 million,Arab African International Bank
Sub-Saharan Africa (excluding high income),2024,commercial banks,0.0,Arab Bank for Economic Dev. in Africa (BADEA),US$0,Arab Bank for Economic Dev. in Africa (BADEA) (commercial banks)
Sub-Saharan Africa (excluding high income),2024,multilateral,2160203561.6,Arab Bank for Economic Dev. in Africa (BADEA),US$2.2 billion,Arab Bank for Economic Dev. in Africa (BADEA)
Sub-Saharan Africa (excluding high income),2024,multilateral,2355641440.6,Arab Fund for Economic & Social Development,US$2.4 billion,Arab Fund for Economic & Social Development
Sub-Saharan Africa (excluding high income),2024,multilateral,576238406.4,Arab Monetary Fund,US$576.2 million,Arab Monetary Fund
Sub-Saharan Africa (excluding high income),2024,bilateral,10408000.0,Argentina,US$10.4 million,Argentina (bilateral)
Sub-Saharan Africa (excluding high income),2024,multilateral,200143046.1,Asian Infrastructure Investment Bank,US$200.1 million,Asian Infrastructure Investment Bank
Sub-Saharan Africa (excluding high income),2024,bilateral,219377240.7,Austria,US$219.4 million,Austria (bilateral)
Sub-Saharan Africa (excluding high income),2024,commercial banks,576794324.3,Austria,US$576.8 million,Austria (commercial banks)
Sub-Saharan Africa (excluding high income),2024,other private,1229000.0,Austria,US$1.2 million,Austria (other private)
Sub-Saharan Africa (excluding high income),2024,commercial banks,750000.0,Bahamas,"US$750,000",Bahamas (commercial banks)
Sub-Saharan Africa (excluding high income),2024,other private,0.0,Bahrain,US$0,Bahrain (other private)
Sub-Saharan Africa (excluding high income),2024,bilateral,484936569.8,Belgium,US$484.9 million,Belgium (bilateral)
Sub-Saharan Africa (excluding high income),2024,commercial banks,999609210.2,Belgium,US$999.6 million,Belgium (commercial banks)
Sub-Saharan Africa (excluding high income),2024,other private,28235494.4,Belgium,US$28.2 million,Belgium (other private)
Sub-Saharan Africa (excluding high income),2024,bilateral,68245.6,Benin,"US$68,246",Benin (bilateral)
Sub-Saharan Africa (excluding high income),2024,bonds,149430967857.3,Bondholders,US$149.4 billion,Bondholders
Sub-Saharan Africa (excluding high income),2024,bilateral,467058000.0,Brazil,US$467.1 million,Brazil (bilateral)
Sub-Saharan Africa (excluding high income),2024,commercial banks,120421000.0,Brazil,US$120.4 million,Brazil (commercial banks)
Sub-Saharan Africa (excluding high income),2024,bilateral,79398000.0,Bulgaria,US$79.4 million,Bulgaria (bilateral)
Sub-Saharan Africa (excluding high income),2024,bilateral,22626089.9,Cameroon,US$22.6 million,Cameroon (bilateral)
Sub-Saharan Africa (excluding high income),2024,bilateral,332731941.5,Canada,US$332.7 million,Canada (bilateral)
Sub-Saharan Africa (excluding high income),2024,commercial banks,49996000.0,Canada,US$50.0 million,Canada (commercial banks)
Sub-Saharan Africa (excluding high income),2024,multilateral,308906085.0,Central Bank of West African States (BCEAO),US$308.9 million,Central Bank of West African States (BCEAO)
Sub-Saharan Africa (excluding high income),2024,bilateral,372.2,Chad,US$372,Chad (bilateral)
Sub-Saharan Africa (excluding high income),2024,bilateral,56775669617.7,China,US$56.8 billion,China (bilateral)
Sub-Saharan Africa (excluding high income),2024,commercial banks,15054010175.1,China,US$15.1 billion,China (commercial banks)
Sub-Saharan Africa (excluding high income),2024,other private,2686349000.0,China,US$2.7 billion,China (other private)
Sub-Saharan Africa (excluding high income),2024,bilateral,89167790.3,"Congo, Rep.",US$89.2 million,"Congo, Rep. (bilateral)"
Sub-Saharan Africa (excluding high income),2024,bilateral,46722094.7,"Cote D`Ivoire, Republic Of",US$46.7 million,"Cote D`Ivoire, Republic Of (bilateral)"
Sub-Saharan Africa (excluding high income),2024,commercial banks,622562134.9,"Cote D`Ivoire, Republic Of",US$622.6 million,"Cote D`Ivoire, Republic Of (commercial banks)"
Sub-Saharan Africa (excluding high income),2024,other private,20000000.0,"Cote D`Ivoire, Republic Of",US$20 million,"Cote D`Ivoire, Republic Of (other private)"
Sub-Saharan Africa (excluding high income),2024,bilateral,39903000.0,Croatia,US$39.9 million,Croatia (bilateral)
Sub-Saharan Africa (excluding high income),2024,bilateral,225362662.7,Czechia,US$225.4 million,Czechia (bilateral)
Sub-Saharan Africa (excluding high income),2024,commercial banks,184822387.8,Czechia,US$184.8 million,Czechia (commercial banks)
Sub-Saharan Africa (excluding high income),2024,bilateral,62484803.4,Denmark,US$62.5 million,Denmark (bilateral)
Sub-Saharan Africa (excluding high income),2024,commercial banks,296788628.5,Denmark,US$296.8 million,Denmark (commercial banks)
Sub-Saharan Africa (excluding high income),2024,multilateral,390085257.2,Dev. Bank of the Central African States (BDEAC),US$390.1 million,Dev. Bank of the Central African States (BDEAC)
Sub-Saharan Africa (excluding high income),2024,multilateral,2234218793.4,Eastern & Southern African Trade & Dev. Bank (TDB),US$2.2 billion,Eastern & Southern African Trade & Dev. Bank (TDB)
Sub-Saharan Africa (excluding high income),2024,multilateral,755032372.7,Economic Community of West African States (ECOWAS),US$755.0 million,Economic Community of West African States (ECOWAS)
Sub-Saharan Africa (excluding high income),2024,bilateral,187736000.0,Egypt,US$187.7 million,Egypt (bilateral)
Sub-Saharan Africa (excluding high income),2024,other private,76632000.0,Egypt,US$76.6 million,Egypt (other private)
Sub-Saharan Africa (excluding high income),2024,bilateral,30092063.9,Equatorial Guinea,US$30.1 million,Equatorial Guinea (bilateral)
Sub-Saharan Africa (excluding high income),2024,multilateral,57101060.7,European Development Fund (EDF),US$57.1 million,European Development Fund (EDF)
Sub-Saharan Africa (excluding high income),2024,multilateral,9314568.2,European Economic Community (EEC),US$9.3 million,European Economic Community (EEC)
Sub-Saharan Africa (excluding high income),2024,multilateral,3096042833.8,European Investment Bank,US$3.1 billion,European Investment Bank
Sub-Saharan Africa (excluding high income),2024,bilateral,67157769.0,Finland,US$67.2 million,Finland (bilateral)
Sub-Saharan Africa (excluding high income),2024,other private,5667000.0,Finland,US$5.7 million,Finland (other private)
Sub-Saharan Africa (excluding high income),2024,bilateral,10345768319.6,France,US$10.3 billion,France (bilateral)
Sub-Saharan Africa (excluding high income),2024,commercial banks,6074632063.3,France,US$6.1 billion,France (commercial banks)
Sub-Saharan Africa (excluding high income),2024,other private,669833522.4,France,US$669.8 million,France (other private)
Sub-Saharan Africa (excluding high income),2024,bilateral,2096970891.6,"Germany, Fed. Rep. of",US$2.1 billion,"Germany, Fed. Rep. of (bilateral)"
Sub-Saharan Africa (excluding high income),2024,commercial banks,3868023559.8,"Germany, Fed. Rep. of",US$3.9 billion,"Germany, Fed. Rep. of (commercial banks)"
Sub-Saharan Africa (excluding high income),2024,other private,199576845.6,"Germany, Fed. Rep. of",US$199.6 million,"Germany, Fed. Rep. of (other private)"
Sub-Saharan Africa (excluding high income),2024,bilateral,2032000.0,Greece,US$2.0 million,Greece (bilateral)
Sub-Saharan Africa (excluding high income),2024,other private,446000.0,Greece,"US$446,000",Greece (other private)
Sub-Saharan Africa (excluding high income),2024,commercial banks,10000000.0,Hong Kong,US$10 million,Hong Kong (commercial banks)
Sub-Saharan Africa (excluding high income),2024,other private,304841000.0,Hong Kong,US$304.8 million,Hong Kong (other private)
Sub-Saharan Africa (excluding high income),2024,bilateral,19524000.0,Hungary,US$19.5 million,Hungary (bilateral)
Sub-Saharan Africa (excluding high income),2024,other private,5783000.0,Hungary,US$5.8 million,Hungary (other private)
Sub-Saharan Africa (excluding high income),2024,bilateral,4501172880.7,India,US$4.5 billion,India (bilateral)
Sub-Saharan Africa (excluding high income),2024,other private,19772264.9,India,US$19.8 million,India (other private)
Sub-Saharan Africa (excluding high income),2024,multilateral,0.0,International Bank for Economic Cooperation (IBEC),US$0,International Bank for Economic Cooperation (IBEC)
Sub-Saharan Africa (excluding high income),2024,multilateral,3694909758.5,International Fund for Agricultural Dev.,US$3.7 billion,International Fund for Agricultural Dev.
Sub-Saharan Africa (excluding high income),2024,bilateral,180304000.0,"Iran, Islamic Republic Of",US$180.3 million,"Iran, Islamic Republic Of (bilateral)"
Sub-Saharan Africa (excluding high income),2024,bilateral,387374867.1,Iraq,US$387.4 million,Iraq (bilateral)
Sub-Saharan Africa (excluding high income),2024,bilateral,1643460.6,Ireland,US$1.6 million,Ireland (bilateral)
Sub-Saharan Africa (excluding high income),2024,commercial banks,697221000.0,Ireland,US$697.2 million,Ireland (commercial banks)
Sub-Saharan Africa (excluding high income),2024,multilateral,7727753162.2,Islamic Dev. Bank,US$7.7 billion,Islamic Dev. Bank
Sub-Saharan Africa (excluding high income),2024,commercial banks,1482204606.9,Israel,US$1.5 billion,Israel (commercial banks)
Sub-Saharan Africa (excluding high income),2024,other private,2731933000.0,Israel,US$2.7 billion,Israel (other private)
Sub-Saharan Africa (excluding high income),2024,bilateral,1038121006.1,Italy,US$1.0 billion,Italy (bilateral)
Sub-Saharan Africa (excluding high income),2024,commercial banks,1552432372.5,Italy,US$1.6 billion,Italy (commercial banks)
Sub-Saharan Africa (excluding high income),2024,other private,81378228.7,Italy,US$81.4 million,Italy (other private)
Sub-Saharan Africa (excluding high income),2024,bilateral,4237756697.6,Japan,US$4.2 billion,Japan (bilateral)
Sub-Saharan Africa (excluding high income),2024,commercial banks,1581943605.5,Japan,US$1.6 billion,Japan (commercial banks)
Sub-Saharan Africa (excluding high income),2024,other private,195688000.3,Japan,US$195.7 million,Japan (other private)
Sub-Saharan Africa (excluding high income),2024,bilateral,1994111944.6,"Korea, Republic of",US$2.0 billion,"Korea, Republic of (bilateral)"
