debtor_name,year,category,value,creditor_name,value_annotation,name_annotation
Africa (excluding high income),2024,commercial banks,1222875733.0,Africa Finance Corporation,US$1.2 billion,Africa Finance Corporation (commercial banks)
Africa (excluding high income),2024,multilateral,47102010713.1,African Dev. Bank,US$47.1 billion,African Dev. Bank
Africa (excluding high income),2024,multilateral,10344541126.1,African Export-Import Bank,US$10.3 billion,African Export-Import Bank
Africa (excluding high income),2024,bilateral,768641377.3,Algeria,US$768.6 million,Algeria (bilateral)
Africa (excluding high income),2024,bilateral,400478000.0,Angola,US$400.5 million,Angola (bilateral)
Africa (excluding high income),2024,multilateral,31149000.0,Arab African International Bank,US$31.1 million,Arab African International Bank
Africa (excluding high income),2024,multilateral,2270352969.1,Arab Bank for Economic Dev. in Africa (BADEA),US$2.3 billion,Arab Bank for Economic Dev. in Africa (BADEA)
Africa (excluding high income),2024,commercial banks,0.0,Arab Bank for Economic Dev. in Africa (BADEA),US$0,Arab Bank for Economic Dev. in Africa (BADEA) (commercial banks)
Africa (excluding high income),2024,multilateral,6719146848.9,Arab Fund for Economic & Social Development,US$6.7 billion,Arab Fund for Economic & Social Development
Africa (excluding high income),2024,multilateral,2138163904.2,Arab Monetary Fund,US$2.1 billion,Arab Monetary Fund
Africa (excluding high income),2024,bilateral,10408000.0,Argentina,US$10.4 million,Argentina (bilateral)
Africa (excluding high income),2024,multilateral,736214046.1,Asian Infrastructure Investment Bank,US$736.2 million,Asian Infrastructure Investment Bank
Africa (excluding high income),2024,bilateral,241778002.5,Austria,US$241.8 million,Austria (bilateral)
Africa (excluding high income),2024,commercial banks,598193586.5,Austria,US$598.2 million,Austria (commercial banks)
Africa (excluding high income),2024,other private,1419118.7,Austria,US$1.4 million,Austria (other private)
Africa (excluding high income),2024,commercial banks,750000.0,Bahamas,"US$750,000",Bahamas (commercial banks)
Africa (excluding high income),2024,commercial banks,514350325.7,Bahrain,US$514.4 million,Bahrain (commercial banks)
Africa (excluding high income),2024,other private,0.0,Bahrain,US$0,Bahrain (other private)
Africa (excluding high income),2024,bilateral,513115693.4,Belgium,US$513.1 million,Belgium (bilateral)
Africa (excluding high income),2024,commercial banks,1062486210.2,Belgium,US$1.1 billion,Belgium (commercial banks)
Africa (excluding high income),2024,other private,29109209.299999997,Belgium,US$29.1 million,Belgium (other private)
Africa (excluding high income),2024,bilateral,68245.6,Benin,"US$68,246",Benin (bilateral)
Africa (excluding high income),2024,bonds,192799972775.9,Bondholders,US$192.8 billion,Bondholders
Africa (excluding high income),2024,bilateral,467058000.0,Brazil,US$467.1 million,Brazil (bilateral)
Africa (excluding high income),2024,commercial banks,120421000.0,Brazil,US$120.4 million,Brazil (commercial banks)
Africa (excluding high income),2024,bilateral,79398000.0,Bulgaria,US$79.4 million,Bulgaria (bilateral)
Africa (excluding high income),2024,bilateral,22626089.9,Cameroon,US$22.6 million,Cameroon (bilateral)
Africa (excluding high income),2024,bilateral,677951914.2,Canada,US$678.0 million,Canada (bilateral)
Africa (excluding high income),2024,commercial banks,49996000.0,Canada,US$50.0 million,Canada (commercial banks)
Africa (excluding high income),2024,multilateral,308906085.0,Central Bank of West African States (BCEAO),US$308.9 million,Central Bank of West African States (BCEAO)
Africa (excluding high income),2024,bilateral,372.2,Chad,US$372,Chad (bilateral)
Africa (excluding high income),2024,bilateral,62153310834.0,China,US$62.2 billion,China (bilateral)
Africa (excluding high income),2024,commercial banks,17378004175.1,China,US$17.4 billion,China (commercial banks)
Africa (excluding high income),2024,other private,2686349000.0,China,US$2.7 billion,China (other private)
Africa (excluding high income),2024,bilateral,89167790.3,"Congo, Rep.",US$89.2 million,"Congo, Rep. (bilateral)"
Africa (excluding high income),2024,bilateral,46722094.699999996,"Cote D`Ivoire, Republic Of",US$46.7 million,"Cote D`Ivoire, Republic Of (bilateral)"
Africa (excluding high income),2024,commercial banks,622562134.9,"Cote D`Ivoire, Republic Of",US$622.6 million,"Cote D`Ivoire, Republic Of (commercial banks)"
Africa (excluding high income),2024,other private,20000000.0,"Cote D`Ivoire, Republic Of",US$20 million,"Cote D`Ivoire, Republic Of (other private)"
Africa (excluding high income),2024,bilateral,39903000.0,Croatia,US$39.9 million,Croatia (bilateral)
Africa (excluding high income),2024,bilateral,225362662.7,Czechia,US$225.4 million,Czechia (bilateral)
Africa (excluding high income),2024,commercial banks,184822387.8,Czechia,US$184.8 million,Czechia (commercial banks)
Africa (excluding high income),2024,bilateral,74191953.2,Denmark,US$74.2 million,Denmark (bilateral)
Africa (excluding high income),2024,commercial banks,297105493.0,Denmark,US$297.1 million,Denmark (commercial banks)
